Results for a query:  ministrstvo za javno upravo
Results found in: 96 ms

Frequency  Keywords                          Document                                           Snippets
7           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.289.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno pooblastilo za določene ... Ministrstvo
9           javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.528.html                   Ministrstvo za javno upravo Tržaška 21 SI-1000 ... Ministrstvo za javno upravo Republike Slovenije I
10          javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.384.html             MINISTRSTVO ZA JAVNO UPRAVO ( 9 ) ... javno upravo , po velikosti ... javno upravo , po dejavnosti .
9           javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.543.html             Ministrstvo za javno upravo tako zadnji dve ... Ministrstvo za javno upravo in bo predvidoma ... jav
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.129.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za km
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.137.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti/storitve ...
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.141.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti/storitve ...
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.172.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za gospodarski razvoj ... Ministrs
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.187.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Uredba ... Ministrstvo
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.219.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za pravosodje Župančičeva ... Mini
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.223.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo in ... Ministrst
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.232.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.238.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo | ... Ministrstv
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.247.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.254.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.257.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.259.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo pristojno za rudarstvo ... Ministr
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.260.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.261.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo pristojno za rudarstvo ... Ministr
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.277.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo . ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.280.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.304.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.313.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo . Predpisi in ... Ministrstvo za z
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.372.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Vsebinska ... Ministrst
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.442.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za zdravje Dejavnosti ... Ministrs
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.457.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.458.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za gospodarski razvoj ... Ministrs
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.459.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.460.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.481.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za gospodarski razvoj ... Ministrs
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.485.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za gospodarski razvoj ... Ministrs
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.516.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za pravosodje Župančičeva ... Mini
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.517.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo in ... Ministrst
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.522.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za infrastrukturo in ... Ministrst
10          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.524.html                   Ministrstvo za javno upravo Tržaška 21 SI-1000 ... Ministrstvo za javno upravo Republike Slovenije I
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.548.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
6           ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.552.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za kmetijstvo , ... Ministrstvo za
